product,category,brand,price,stock,sales,revenue,competitorPrice,month
Samsung Wearable 27,Wearable,Samsung,669.66,109,200,133932,754.72,Oct
Samsung Tablet 28,Tablet,Samsung,298.93,102,440,131529.2,281.19,Jun
Boat Accessories 29,Accessories,Boat,1799.08,253,124,223085.92,1653.69,Aug
OnePlus Mobile 30,Mobile,OnePlus,878.88,288,495,435045.6,985.76,Oct
Boat Accessories 31,Accessories,Boat,581.15,123,112,65088.8,590.87,Jul
Sony Accessories 32,Accessories,Sony,755.78,242,276,208595.28,800.09,Feb
Logitech Accessories 33,Accessories,Logitech,1521.95,167,177,269385.15,1420.48,Mar
Boat Accessories 34,Accessories,Boat,1681.12,21,465,781720.8,1562.83,Dec
Samsung Tablet 35,Tablet,Samsung,837.37,66,254,212691.98,930.86,Apr
Samsung Wearable 36,Wearable,Samsung,709.11,80,378,268043.58,665.02,Aug
Apple Tablet 37,Tablet,Apple,1524.79,187,218,332404.22,1441.49,Nov
Boat Accessories 38,Accessories,Boat,1906.26,29,44,83875.44,2137.51,Jun
Samsung Tablet 39,Tablet,Samsung,1419.85,26,453,643192.05,1486.19,Jun
Dell Laptop 40,Laptop,Dell,1695.49,156,493,835876.57,1625.62,Jan
Logitech Accessories 41,Accessories,Logitech,1318.5,270,385,507622.5,1346.81,Apr
Xiaomi Mobile 42,Mobile,Xiaomi,1014.21,128,172,174444.12,926.42,May
Noise Wearable 43,Wearable,Noise,346.83,89,443,153645.69,360.36,Apr
Apple Wearable 44,Wearable,Apple,1132.62,49,65,73620.3,1082.47,Oct
Samsung Tablet 45,Tablet,Samsung,374.62,128,425,159213.5,426.82,Nov
Apple Tablet 46,Tablet,Apple,1392.16,132,498,693295.68,1528.26,Nov
Samsung Wearable 47,Wearable,Samsung,1835.47,10,203,372600.41,1836.98,Jun
HP Laptop 48,Laptop,HP,187.24,6,199,37260.76,178,Feb
JBL Accessories 49,Accessories,JBL,782.05,210,65,50833.25,837.59,Jul
Noise Wearable 50,Wearable,Noise,1511.09,282,207,312795.63,1407.87,Oct
Apple Wearable 51,Wearable,Apple,1996.38,258,67,133757.46,2160.62,Aug
OnePlus Mobile 52,Mobile,OnePlus,234.01,116,107,25039.07,261.23,Jun
Samsung Mobile 53,Mobile,Samsung,1314.86,162,36,47334.96,1377.9,Nov
Apple Tablet 54,Tablet,Apple,1062.95,287,118,125428.1,1082.85,Mar
Xiaomi Mobile 55,Mobile,Xiaomi,1527.39,72,224,342135.36,1617.05,Aug
Lenovo Tablet 56,Tablet,Lenovo,1033.27,96,334,345112.18,1111.93,Aug
OnePlus Mobile 57,Mobile,OnePlus,480.52,129,238,114363.76,466.52,Apr
Samsung Mobile 58,Mobile,Samsung,1474.29,214,497,732722.13,1663.15,Dec
JBL Accessories 59,Accessories,JBL,727.83,119,34,24746.22,676.77,Sep
Boat Accessories 60,Accessories,Boat,1459.43,218,358,522475.94,1675.33,Jun
JBL Accessories 61,Accessories,JBL,1539.64,62,482,742106.48,1560.96,Mar
Apple Wearable 62,Wearable,Apple,51.06,249,269,13735.14,52.51,Jan
Boat Accessories 63,Accessories,Boat,1278.59,216,329,420656.11,1224.05,May
Dell Laptop 64,Laptop,Dell,512.22,93,227,116273.94,493.91,May
HP Laptop 65,Laptop,HP,80.88,56,51,4124.88,75.1,Jan
Xiaomi Mobile 66,Mobile,Xiaomi,920.38,8,354,325814.52,856.16,Jan
Apple Mobile 67,Mobile,Apple,145.44,137,410,59630.4,144.65,Aug
Sony Accessories 68,Accessories,Sony,1677.82,80,319,535224.58,1764.44,Dec
JBL Accessories 69,Accessories,JBL,1634.11,261,498,813786.78,1702.62,Jun
Samsung Mobile 70,Mobile,Samsung,604.84,221,155,93750.2,667.53,Apr
Samsung Wearable 71,Wearable,Samsung,1173.63,175,174,204211.62,1070.11,Jun
Apple Mobile 72,Mobile,Apple,938.7,51,430,403641,881.55,Oct
Samsung Mobile 73,Mobile,Samsung,1228.33,169,431,529410.23,1243,Dec
Samsung Tablet 74,Tablet,Samsung,299.9,254,429,128657.1,329.61,Jan
Apple Laptop 75,Laptop,Apple,194.94,252,46,8967.24,192.94,Nov
Apple Mobile 76,Mobile,Apple,121.05,103,362,43820.1,113.76,Oct
Xiaomi Mobile 77,Mobile,Xiaomi,1878.48,112,290,544759.2,1832.78,Oct
Logitech Accessories 78,Accessories,Logitech,766.92,257,180,138045.6,879.56,Mar
Apple Tablet 79,Tablet,Apple,1048.14,217,162,169798.68,1129.88,Oct
Apple Tablet 80,Tablet,Apple,1126.89,250,365,411314.85,1226.07,Mar
HP Laptop 81,Laptop,HP,1521.49,125,186,282997.14,1493.13,Feb
Sony Accessories 82,Accessories,Sony,1529.35,84,292,446570.2,1520.95,Mar
Lenovo Tablet 83,Tablet,Lenovo,877.22,294,349,306149.78,932.22,Jan
HP Laptop 84,Laptop,HP,1962.56,266,445,873339.2,1796.88,Dec
HP Laptop 85,Laptop,HP,1632.79,37,245,400033.55,1750.7,Oct
Apple Mobile 86,Mobile,Apple,1928.31,63,347,669123.57,1831.76,Feb
Lenovo Laptop 87,Laptop,Lenovo,1606.59,200,16,25705.44,1619.5,Aug
Logitech Accessories 88,Accessories,Logitech,1569.8,87,460,722108,1659.46,Feb
Lenovo Laptop 89,Laptop,Lenovo,1442.24,175,157,226431.68,1334.82,May
OnePlus Mobile 90,Mobile,OnePlus,1361.31,97,95,129324.45,1250.15,Jul
Boat Accessories 91,Accessories,Boat,1707.44,219,119,203185.36,1825.88,Feb
Sony Accessories 92,Accessories,Sony,188.41,245,50,9420.5,196.41,Jul
Apple Laptop 93,Laptop,Apple,1609.14,207,371,596990.94,1640.9,May
Lenovo Tablet 94,Tablet,Lenovo,1936.11,209,236,456921.96,2161.51,Jul
Samsung Tablet 95,Tablet,Samsung,644.58,275,290,186928.2,685.56,Aug
Sony Accessories 96,Accessories,Sony,1701.35,47,161,273917.35,1934.19,Jan
Samsung Wearable 97,Wearable,Samsung,1854.29,88,39,72317.31,1776.55,Jun
Samsung Wearable 98,Wearable,Samsung,66.53,147,361,24017.33,73.74,Aug
Samsung Tablet 99,Tablet,Samsung,1729.8,188,457,790518.6,1774.48,Oct
Dell Laptop 100,Laptop,Dell,606.42,246,231,140083.02,596.59,Apr
Xiaomi Mobile 101,Mobile,Xiaomi,587.05,154,119,69858.95,668.93,Apr
Sony Accessories 102,Accessories,Sony,920.94,203,484,445734.96,913.03,Feb
OnePlus Mobile 103,Mobile,OnePlus,446.48,94,177,79026.96,455.45,Dec
Lenovo Laptop 104,Laptop,Lenovo,1119,135,39,43641,1276.98,Jun
Boat Accessories 105,Accessories,Boat,695.36,253,174,120992.64,683.35,Mar
Sony Accessories 106,Accessories,Sony,1875.19,119,50,93759.5,1792.87,Feb
Boat Accessories 107,Accessories,Boat,1695.87,238,40,67834.8,1821.16,Nov
Fitbit Wearable 108,Wearable,Fitbit,1489.69,239,473,704623.37,1445.95,Nov
Apple Tablet 109,Tablet,Apple,590.14,298,451,266153.14,662.66,Nov
Apple Tablet 110,Tablet,Apple,796.73,70,258,205556.34,752.52,Sep
Samsung Wearable 111,Wearable,Samsung,1848.76,87,23,42521.48,2048.76,Nov
Lenovo Tablet 112,Tablet,Lenovo,1563.07,142,353,551763.71,1689.6,May
Apple Wearable 113,Wearable,Apple,729.86,201,471,343764.06,749.85,Jan
Apple Mobile 114,Mobile,Apple,1562.52,105,415,648445.8,1551.24,Jun
Logitech Accessories 115,Accessories,Logitech,1802.89,215,490,883416.1,1843.46,Oct
Apple Laptop 116,Laptop,Apple,696.45,220,403,280669.35,680.14,Apr
Apple Wearable 117,Wearable,Apple,1346.97,161,221,297680.37,1512.36,May
Logitech Accessories 118,Accessories,Logitech,922.44,196,33,30440.52,894.87,Jul
Samsung Mobile 119,Mobile,Samsung,1895.08,40,476,902058.08,1870.28,Oct
Apple Laptop 120,Laptop,Apple,619.72,86,46,28507.12,686.37,May
Apple Mobile 121,Mobile,Apple,1670.67,245,225,375900.75,1904.04,Nov
Samsung Wearable 122,Wearable,Samsung,139.74,156,306,42760.44,138.37,Dec
Apple Mobile 123,Mobile,Apple,1609.48,174,453,729094.44,1532.18,Apr
Lenovo Tablet 124,Tablet,Lenovo,788.43,210,467,368196.81,867.2,Sep
Lenovo Tablet 125,Tablet,Lenovo,1109.95,92,366,406241.7,1059.35,Dec
Logitech Accessories 126,Accessories,Logitech,123.69,182,10,1236.9,116.66,Dec
Fitbit Wearable 127,Wearable,Fitbit,935.21,148,224,209487.04,1072.42,Mar
OnePlus Mobile 128,Mobile,OnePlus,1904.62,286,182,346640.84,2002.6,Jul
OnePlus Mobile 129,Mobile,OnePlus,1354.56,45,420,568915.2,1360.86,Mar
Sony Accessories 130,Accessories,Sony,419.44,288,64,26844.16,478.96,Sep
Lenovo Laptop 131,Laptop,Lenovo,1720.04,225,454,780898.16,1784.16,Aug
Apple Tablet 132,Tablet,Apple,769.4,231,393,302374.2,784.63,Oct
Samsung Wearable 133,Wearable,Samsung,1609.65,94,207,333197.55,1807.43,Oct
Apple Laptop 134,Laptop,Apple,664.2,94,13,8634.6,624.91,Aug
Boat Accessories 135,Accessories,Boat,94.92,168,115,10915.8,106.06,Apr
Apple Laptop 136,Laptop,Apple,179.95,262,28,5038.6,195.14,Jan
Apple Wearable 137,Wearable,Apple,278.07,133,91,25304.37,252.38,Aug
Dell Laptop 138,Laptop,Dell,1192.79,108,115,137170.85,1336.72,Jul
OnePlus Mobile 139,Mobile,OnePlus,641.9,27,126,80879.4,646.38,Nov
Xiaomi Mobile 140,Mobile,Xiaomi,1611.17,142,452,728248.84,1846.51,Feb
Apple Tablet 141,Tablet,Apple,1960.62,261,417,817578.54,1977.16,May
Lenovo Laptop 142,Laptop,Lenovo,1201.67,41,299,359299.33,1217.63,Nov
Samsung Tablet 143,Tablet,Samsung,730.67,69,200,146134,775.52,Jun
Lenovo Laptop 144,Laptop,Lenovo,636.6,169,479,304931.4,661.6,Jul
Samsung Tablet 145,Tablet,Samsung,903.01,201,341,307926.41,958.87,May
Apple Mobile 146,Mobile,Apple,1858.24,293,25,46456,1693.86,Aug
Samsung Wearable 147,Wearable,Samsung,1167.72,191,205,239382.6,1158.11,Oct
Lenovo Tablet 148,Tablet,Lenovo,1533.92,261,326,500057.92,1570.4,Oct
Lenovo Laptop 149,Laptop,Lenovo,1069.09,250,229,244821.61,1002.55,Oct
JBL Accessories 150,Accessories,JBL,1298.38,20,302,392110.76,1198.53,Nov
Apple Mobile 151,Mobile,Apple,1657.74,10,210,348125.4,1798.85,Jan
Apple Tablet 152,Tablet,Apple,1717.93,200,357,613301.01,1931.24,Jul
Sony Accessories 153,Accessories,Sony,937.26,278,337,315856.62,974.26,Aug
Dell Laptop 154,Laptop,Dell,1010.3,117,121,122246.3,1020.6,Jun
Samsung Mobile 155,Mobile,Samsung,387.03,169,462,178807.86,383.15,May
Sony Accessories 156,Accessories,Sony,1169.69,109,480,561451.2,1082.53,Jan
JBL Accessories 157,Accessories,JBL,1713.92,103,376,644433.92,1792.69,Jul
Apple Tablet 158,Tablet,Apple,291.47,94,51,14864.97,305.19,Nov
Lenovo Tablet 159,Tablet,Lenovo,479.93,90,371,178054.03,504.23,Dec
HP Laptop 160,Laptop,HP,180.95,264,159,28771.05,200.42,Jan
Sony Accessories 161,Accessories,Sony,1709.78,104,272,465060.16,1724.48,May
OnePlus Mobile 162,Mobile,OnePlus,1950.03,244,32,62400.96,1841.57,Mar
Apple Laptop 163,Laptop,Apple,539.34,10,74,39911.16,504.93,Feb
Apple Laptop 164,Laptop,Apple,1441.42,182,42,60539.64,1502.42,Mar
Lenovo Laptop 165,Laptop,Lenovo,1825.08,40,414,755583.12,2027.44,Jun
JBL Accessories 166,Accessories,JBL,762.06,237,442,336830.52,731.31,Nov
HP Laptop 167,Laptop,HP,889.08,56,256,227604.48,897.46,Dec
Apple Mobile 168,Mobile,Apple,1484.43,52,39,57892.77,1536.61,Mar
OnePlus Mobile 169,Mobile,OnePlus,803.88,250,434,348883.92,891.17,Apr
Noise Wearable 170,Wearable,Noise,1506.3,14,434,653734.2,1491.87,Oct
Samsung Tablet 171,Tablet,Samsung,1935.34,28,142,274818.28,1774.03,Nov
Apple Tablet 172,Tablet,Apple,1133.37,289,220,249341.4,1163.88,Aug
Samsung Wearable 173,Wearable,Samsung,352.53,31,210,74031.3,387.41,Sep
Samsung Tablet 174,Tablet,Samsung,164.09,231,422,69245.98,188.53,Jun
Xiaomi Mobile 175,Mobile,Xiaomi,586.18,157,454,266125.72,644.02,Nov
OnePlus Mobile 176,Mobile,OnePlus,121.62,28,409,49742.58,119.82,Apr
Logitech Accessories 177,Accessories,Logitech,1880.41,26,332,624296.12,2053.22,Jul
HP Laptop 178,Laptop,HP,402.21,250,419,168525.99,429.94,Feb
Apple Tablet 179,Tablet,Apple,1742.59,73,329,573312.11,1696.88,Aug
Lenovo Laptop 180,Laptop,Lenovo,1508.29,256,281,423829.49,1564.04,Dec
Sony Accessories 181,Accessories,Sony,565.79,104,23,13013.17,638.55,Nov
Logitech Accessories 182,Accessories,Logitech,825.12,83,432,356451.84,811.37,Jan
JBL Accessories 183,Accessories,JBL,134.72,12,346,46613.12,150.47,Apr
Sony Accessories 184,Accessories,Sony,957.4,75,433,414554.2,1081.03,May
HP Laptop 185,Laptop,HP,752.16,186,483,363293.28,795.83,Sep
Logitech Accessories 186,Accessories,Logitech,1059.14,239,151,159930.14,1020.55,Feb
Apple Tablet 187,Tablet,Apple,1816.17,226,325,590255.25,1822.3,Jun
Noise Wearable 188,Wearable,Noise,1150.21,214,287,330110.27,1252.12,Oct
Lenovo Tablet 189,Tablet,Lenovo,1276.67,221,212,270654.04,1214.45,Feb
OnePlus Mobile 190,Mobile,OnePlus,888.47,40,37,32873.39,1001.11,Jun
Apple Mobile 191,Mobile,Apple,1606.43,230,22,35341.46,1800.44,Sep
JBL Accessories 192,Accessories,JBL,1018.47,141,10,10184.7,1075.89,May
Boat Accessories 193,Accessories,Boat,629.1,223,216,135885.6,722.23,Jan
JBL Accessories 194,Accessories,JBL,571.07,78,282,161041.74,605.7,Nov
Lenovo Tablet 195,Tablet,Lenovo,1909.77,85,259,494630.43,1761.39,Jun
Samsung Wearable 196,Wearable,Samsung,1595.25,58,344,548766,1773.58,Feb
Samsung Wearable 197,Wearable,Samsung,672.71,292,69,46416.99,636.03,Nov
Dell Laptop 198,Laptop,Dell,1442.14,27,288,415336.32,1617.93,May
Lenovo Laptop 199,Laptop,Lenovo,1388.32,53,284,394282.88,1397.5,Mar
Fitbit Wearable 200,Wearable,Fitbit,1757.58,51,413,725880.54,1777.99,Aug
Apple Laptop 201,Laptop,Apple,1657.32,201,100,165732,1587.88,May
Samsung Mobile 202,Mobile,Samsung,1795.42,120,349,626601.58,1666.88,Dec
Apple Laptop 203,Laptop,Apple,929.95,32,454,422197.3,890.91,May
Apple Mobile 204,Mobile,Apple,1084.74,232,116,125829.84,1149.01,Jul
Apple Mobile 205,Mobile,Apple,317.8,204,434,137925.2,333.8,Feb
Samsung Tablet 206,Tablet,Samsung,1357.08,137,192,260559.36,1537.3,Jul
Sony Accessories 207,Accessories,Sony,1416.07,127,466,659888.62,1391.4,Dec
Noise Wearable 208,Wearable,Noise,1631.07,64,194,316427.58,1640.5,Jul
Noise Wearable 209,Wearable,Noise,216.2,189,121,26160.2,239.9,Feb
Apple Tablet 210,Tablet,Apple,1640.85,68,280,459438,1605.55,Jan
Dell Laptop 211,Laptop,Dell,1343.61,119,388,521320.68,1299.98,Sep
Lenovo Tablet 212,Tablet,Lenovo,1082.76,253,384,415779.84,1152.71,Sep
HP Laptop 213,Laptop,HP,1709.32,12,343,586296.76,1941.25,Apr
Xiaomi Mobile 214,Mobile,Xiaomi,560.89,73,476,266983.64,571.69,Jan
Logitech Accessories 215,Accessories,Logitech,387.47,216,200,77494,414.88,Sep
Logitech Accessories 216,Accessories,Logitech,1875.36,7,92,172533.12,2156.39,Apr
Samsung Tablet 217,Tablet,Samsung,206.75,232,434,89729.5,207.04,Sep
Lenovo Tablet 218,Tablet,Lenovo,419.64,116,36,15107.04,442.45,Mar
OnePlus Mobile 219,Mobile,OnePlus,1192.98,47,141,168210.18,1301.83,Jan
Apple Wearable 220,Wearable,Apple,799.18,296,385,307684.3,870.33,Apr
Apple Laptop 221,Laptop,Apple,1925.2,259,32,61606.4,2206.02,May
Apple Mobile 222,Mobile,Apple,1109.43,165,181,200806.83,1243.14,Sep
Samsung Mobile 223,Mobile,Samsung,358.93,240,389,139623.77,411.89,Jun
Samsung Tablet 224,Tablet,Samsung,888.55,226,108,95963.4,963.73,Jul
JBL Accessories 225,Accessories,JBL,1978.82,243,371,734142.22,1862.86,Jan
Apple Laptop 226,Laptop,Apple,724.59,240,191,138396.69,817.91,Aug
OnePlus Mobile 227,Mobile,OnePlus,618.27,219,471,291205.17,571.56,Jan
Logitech Accessories 228,Accessories,Logitech,1764.68,31,442,779988.56,2020.54,Sep
OnePlus Mobile 229,Mobile,OnePlus,378.35,28,228,86263.8,402.51,Sep
Boat Accessories 230,Accessories,Boat,1208.77,52,128,154722.56,1120.91,Jul
Samsung Wearable 231,Wearable,Samsung,1050.73,291,369,387719.37,958.61,Jan
Sony Accessories 232,Accessories,Sony,295.23,104,294,86797.62,334.44,Mar
JBL Accessories 233,Accessories,JBL,728.27,265,209,152208.43,828.38,May
Xiaomi Mobile 234,Mobile,Xiaomi,702.62,119,419,294397.78,737.65,Nov
Boat Accessories 235,Accessories,Boat,1678.41,14,52,87277.32,1838.17,Nov
Dell Laptop 236,Laptop,Dell,567.08,174,328,186002.24,569.06,Dec
Boat Accessories 237,Accessories,Boat,1648,289,447,736656,1666.78,Jul
Boat Accessories 238,Accessories,Boat,354.88,165,11,3903.68,355.56,Mar
Lenovo Laptop 239,Laptop,Lenovo,435.32,214,58,25248.56,481.2,May
OnePlus Mobile 240,Mobile,OnePlus,1342.52,208,491,659177.32,1369.78,Aug
Apple Tablet 241,Tablet,Apple,807.21,241,384,309968.64,834.86,Aug
Apple Laptop 242,Laptop,Apple,1534.88,183,110,168836.8,1578.29,Oct
OnePlus Mobile 243,Mobile,OnePlus,251.24,69,92,23114.08,250.38,Aug
Apple Mobile 244,Mobile,Apple,1157.3,38,372,430515.6,1301.26,Dec
Apple Mobile 245,Mobile,Apple,183.9,217,482,88639.8,200.04,Apr
Apple Wearable 246,Wearable,Apple,737.94,111,226,166774.44,787.96,May
Samsung Tablet 247,Tablet,Samsung,1082.01,197,494,534512.94,1165.09,Jul
Apple Tablet 248,Tablet,Apple,1924.4,145,437,840962.8,2034.85,Oct
Apple Tablet 249,Tablet,Apple,1429.86,99,213,304560.18,1622.09,Jul
JBL Accessories 250,Accessories,JBL,343.86,8,67,23038.62,382.26,Apr
Samsung Mobile 251,Mobile,Samsung,433.62,274,83,35990.46,412.65,Nov
Apple Wearable 252,Wearable,Apple,1071.88,221,366,392308.08,1051.59,Sep
Apple Tablet 253,Tablet,Apple,193.08,288,173,33402.84,188.35,Oct
Samsung Mobile 254,Mobile,Samsung,1070.34,67,447,478441.98,999.82,Mar
Apple Wearable 255,Wearable,Apple,1934.64,128,317,613280.88,1797.72,Oct
Dell Laptop 256,Laptop,Dell,1794.38,60,79,141756.02,2036.63,Mar
JBL Accessories 257,Accessories,JBL,1483.72,89,226,335320.72,1393.71,Sep
Samsung Tablet 258,Tablet,Samsung,478.76,33,454,217357.04,483.79,Apr
Boat Accessories 259,Accessories,Boat,1953.93,234,25,48848.25,1885.68,Aug
Sony Accessories 260,Accessories,Sony,618.88,67,438,271069.44,597.5,Feb
Noise Wearable 261,Wearable,Noise,632.22,265,103,65118.66,619.12,Feb
Samsung Mobile 262,Mobile,Samsung,1134.14,109,480,544387.2,1274.91,Mar
HP Laptop 263,Laptop,HP,910.35,233,112,101959.2,1000.85,Mar
Apple Mobile 264,Mobile,Apple,975.6,186,69,67316.4,1049.57,Jun
Apple Mobile 265,Mobile,Apple,1788.09,265,50,89404.5,1696.33,Aug
Dell Laptop 266,Laptop,Dell,1891.04,11,179,338496.16,1878.92,Oct
Samsung Wearable 267,Wearable,Samsung,1796.51,234,93,167075.43,1637.14,Nov
Logitech Accessories 268,Accessories,Logitech,1149.28,280,337,387307.36,1310.85,May
Apple Tablet 269,Tablet,Apple,1384.09,99,398,550867.82,1267.67,Sep
JBL Accessories 270,Accessories,JBL,1402.95,266,40,56118,1449.32,Dec
Samsung Mobile 271,Mobile,Samsung,1574,235,280,440720,1453.31,Dec
Apple Mobile 272,Mobile,Apple,420.43,234,423,177841.89,445.85,May
Apple Wearable 273,Wearable,Apple,113.43,111,442,50136.06,108.49,May
Samsung Tablet 274,Tablet,Samsung,1693.55,7,120,203226,1556.44,Jan
Logitech Accessories 275,Accessories,Logitech,1175.07,259,487,572259.09,1069.53,Jan
Apple Wearable 276,Wearable,Apple,1101.85,178,58,63907.3,1151.7,Apr
Samsung Wearable 277,Wearable,Samsung,1795.33,33,468,840214.44,1803.58,Jun
Logitech Accessories 278,Accessories,Logitech,452.17,229,465,210259.05,442.44,Feb
Noise Wearable 279,Wearable,Noise,1039.74,282,396,411737.04,1157.76,Oct
Samsung Mobile 280,Mobile,Samsung,1136.63,5,288,327349.44,1059.9,Feb
Apple Mobile 281,Mobile,Apple,1352.18,192,241,325875.38,1555,Sep
JBL Accessories 282,Accessories,JBL,1062.71,260,422,448463.62,1057.36,Nov
Samsung Wearable 283,Wearable,Samsung,73.44,132,148,10869.12,71.65,May
OnePlus Mobile 284,Mobile,OnePlus,1853.62,204,452,837836.24,2012.64,Mar
Lenovo Tablet 285,Tablet,Lenovo,1553.81,18,490,761366.9,1664.52,Dec
Apple Laptop 286,Laptop,Apple,1966.62,105,319,627351.78,2231.01,Oct
Apple Tablet 287,Tablet,Apple,791.26,64,100,79126,899.16,Jan
Fitbit Wearable 288,Wearable,Fitbit,966.2,94,179,172949.8,980.39,Feb
Dell Laptop 289,Laptop,Dell,1797.87,82,330,593297.1,1661.01,Apr
Noise Wearable 290,Wearable,Noise,1758.1,238,32,56259.2,1764.47,Dec
Sony Accessories 291,Accessories,Sony,234.81,68,163,38274.03,218.05,Dec
Apple Tablet 292,Tablet,Apple,1072.95,168,292,313301.4,1080.74,May
Xiaomi Mobile 293,Mobile,Xiaomi,189.46,199,70,13262.2,214.79,Mar
Apple Mobile 294,Mobile,Apple,1042.23,220,444,462750.12,1192.3,May
Xiaomi Mobile 295,Mobile,Xiaomi,1462.99,219,315,460841.85,1478.7,Aug
Apple Wearable 296,Wearable,Apple,1589.89,243,384,610517.76,1568.66,Nov
Xiaomi Mobile 297,Mobile,Xiaomi,1890.08,86,234,442278.72,1933.61,May
Samsung Tablet 298,Tablet,Samsung,1594.23,224,493,785955.39,1768.79,Nov
Fitbit Wearable 299,Wearable,Fitbit,1867.02,204,379,707600.58,1783.14,Jan
Sony Accessories 300,Accessories,Sony,1428.21,144,409,584137.89,1599.03,Mar
Logitech Accessories 301,Accessories,Logitech,629.68,62,294,185125.92,683.85,Apr
Logitech Accessories 302,Accessories,Logitech,1547.92,241,119,184202.48,1739.78,May
Xiaomi Mobile 303,Mobile,Xiaomi,691.84,275,349,241452.16,652.08,Dec
Apple Wearable 304,Wearable,Apple,1870.7,218,289,540632.3,2064.61,Jun
Samsung Wearable 305,Wearable,Samsung,752.84,201,324,243920.16,847.07,Jan
Samsung Tablet 306,Tablet,Samsung,1207.82,88,45,54351.9,1303.68,May
OnePlus Mobile 307,Mobile,OnePlus,478.56,71,349,167017.44,447.68,Sep
HP Laptop 308,Laptop,HP,288.33,177,294,84769.02,290.46,Feb
Apple Mobile 309,Mobile,Apple,1272.84,146,273,347485.32,1163.01,May
Samsung Tablet 310,Tablet,Samsung,713.34,67,484,345256.56,709.28,Jul
Dell Laptop 311,Laptop,Dell,258.58,175,319,82487.02,249.56,Jul
Lenovo Laptop 312,Laptop,Lenovo,641.3,182,266,170585.8,706.54,Jan
Apple Mobile 313,Mobile,Apple,1422.61,132,62,88201.82,1288.63,Aug
Apple Mobile 314,Mobile,Apple,610.22,110,477,291074.94,586.98,Jun
HP Laptop 315,Laptop,HP,563.68,139,151,85115.68,526.57,Apr
Samsung Tablet 316,Tablet,Samsung,254.4,53,72,18316.8,273.45,Dec
Apple Tablet 317,Tablet,Apple,1030.14,119,342,352307.88,949.59,Dec
Apple Tablet 318,Tablet,Apple,1189.71,234,245,291478.95,1150.11,Sep
OnePlus Mobile 319,Mobile,OnePlus,703.77,198,418,294175.86,727.99,Dec
OnePlus Mobile 320,Mobile,OnePlus,214.71,35,249,53462.79,195.28,Apr
Logitech Accessories 321,Accessories,Logitech,1075.29,57,271,291403.59,1234.84,Dec
Lenovo Laptop 322,Laptop,Lenovo,1517.72,26,437,663243.64,1470.96,Apr
Apple Laptop 323,Laptop,Apple,891.71,298,100,89171,893.08,Mar
JBL Accessories 324,Accessories,JBL,1993.86,156,189,376839.54,2157.45,Sep
Noise Wearable 325,Wearable,Noise,1497.95,225,281,420923.95,1373.35,May
Noise Wearable 326,Wearable,Noise,804.79,74,448,360545.92,923.1,Apr
Lenovo Laptop 327,Laptop,Lenovo,1335.47,236,441,588942.27,1447.83,Sep
Fitbit Wearable 328,Wearable,Fitbit,1488.13,95,470,699421.1,1645.72,Feb
JBL Accessories 329,Accessories,JBL,1042.23,81,20,20844.6,989.71,Aug
Noise Wearable 330,Wearable,Noise,1037,242,255,264435,1035.67,Jun
Apple Wearable 331,Wearable,Apple,1768.79,221,417,737585.43,1765.22,May
